Player,Score,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
TK Curran,10.068722943722943,2017-2020,20,20,145.0,5,894,27,5/35,33.11,6.16,32.2,1,1
MM Ali,7.791938175770444,2014-2020,102,96,785.4,10,4131,85,4/46,48.60,5.25,55.4,1,0
CJ Jordan,9.800801392583836,2013-2020,34,34,269.4,5,1611,45,5/29,35.80,5.97,35.9,0,1
JE Root,3.45376785991257,2013-2020,146,67,250.4,2,1445,24,3/52,60.20,5.76,62.6,0,0
CR Woakes,11.29125609374042,2011-2020,101,97,786.0,40,4384,143,6/45,30.65,5.57,32.9,9,3
AU Rashid,10.909053870813548,2009-2020,100,94,818.3,6,4598,146,5/27,31.49,5.61,33.6,7,2
