Player,Score,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
FA Allen,-2.4262340385054384,2018-2020,14,12,66.0,0,397,4,2/40,99.25,6.01,99.0,0,0
O Thomas,9.22633519265165,2018-2020,20,19,128.3,1,866,27,5/21,32.07,6.73,28.5,1,1
KMA Paul,9.166666666666666,2018-2020,19,19,145.4,3,881,23,3/44,38.30,6.04,38.0,0,0
RL Chase,7.641666544071062,2017-2020,30,23,148.5,3,719,15,3/30,47.93,4.83,59.5,0,0
AS Joseph,11.144153409159223,2016-2020,28,27,232.1,8,1372,48,5/56,28.58,5.90,29.0,4,1
SS Cottrell,10.346913251552099,2015-2020,35,33,268.0,10,1577,49,5/46,32.18,5.88,32.8,2,1
JO Holder,10.134362715970424,2013-2020,115,111,891.1,48,4948,136,5/27,36.38,5.55,39.3,4,2
KA Pollard,7.642955129051599,2007-2020,113,77,364.4,4,2105,53,3/27,39.71,5.77,41.2,0,0
