Player,Score,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
SN Thakur,6.0,2017-2020,11,11,87.0,1,609,12,4/52,50.75,7.00,43.5,1,0
Kuldeep Yadav,13.25912709829789,2017-2020,60,58,532.0,12,2721,104,6/25,26.16,5.11,30.6,4,1
YS Chahal,13.571501933960686,2016-2020,52,51,463.1,13,2351,91,6/42,25.83,5.07,30.5,2,2
JJ Bumrah,15.467307692307692,2016-2020,64,64,557.4,38,2541,104,5/27,24.43,4.55,32.1,5,1
KM Jadhav,8.087863128085116,2014-2020,73,42,197.5,1,1020,27,3/23,37.77,5.15,43.9,0,0
Mohammed Shami,12.494812451503627,2013-2020,77,76,655.0,39,3661,144,5/69,25.42,5.58,27.2,9,1
RA Jadeja,11.320786471396001,2009-2020,165,161,1396.1,50,6839,187,5/36,36.57,4.89,44.7,7,1
V Kohli,-6.574364634036071,2008-2020,248,48,106.5,1,665,4,1/15,166.25,6.22,160.2,0,0
RG Sharma,1.8404034631473551,2007-2020,224,38,98.5,2,515,8,2/27,64.37,5.21,74.1,0,0
