Player,Score,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
L Ngidi,13.49243681977495,2018-2020,26,26,205.0,15,1140,53,6/58,21.50,5.56,23.2,2,1
AL Phehlukwayo,10.984263869628238,2016-2020,58,55,383.1,15,2151,69,4/22,31.17,5.61,33.3,3,0
T Shamsi,10.035149777014562,2016-2020,22,21,186.3,4,993,26,4/33,38.19,5.32,43.0,1,0
