a,b,winner,location,date,a_bat,a_bowl,b_bat,b_bowl
Bangladesh,Afghanistan,Afghanistan,Fatullah,"Mar 1, 2014",217.1923195861734,95.4532533150485,265.8596059554348,57.74723966940529
Afghanistan,Bangladesh,Bangladesh,Canberra,"Feb 18, 2015",247.7220088105896,79.74703794273641,335.8733883293869,60.37181020112512
Bangladesh,Afghanistan,Bangladesh,Dhaka,"Sep 25, 2016",275.2614327003198,66.32779921043802,315.2100978734682,51.241376944918855
Bangladesh,Afghanistan,Afghanistan,Dhaka,"Sep 28, 2016",299.4769607025654,66.32779921043802,281.22021284054415,51.241376944918855
Bangladesh,Afghanistan,Bangladesh,Dhaka,"Oct 1, 2016",328.385766783396,77.2574587086459,278.5035461738775,50.19779225156741
Afghanistan,Bangladesh,Afghanistan,Abu Dhabi,"Sep 20, 2018",318.79952332250866,86.845773127906,238.02597408190488,60.510042830231654
Afghanistan,Bangladesh,Bangladesh,Abu Dhabi,"Sep 23, 2018",324.11785665584205,86.84577312790599,255.563643353226,56.63348542347515
Afghanistan,Bangladesh,Bangladesh,Southampton,"Jun 24, 2019",316.8687773223944,79.65024557254858,321.9497434715836,59.99790252268967
