Player,Score,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
PWH de Silva,11.055160142348754,2017-2020,15,15,97.1,3,547,17,3/15,32.17,5.62,34.2,0,0
PADLR Sandakan,4.990551714392834,2016-2020,24,23,179.2,0,1161,20,4/52,58.05,6.47,53.8,1,0
DM de Silva,8.71160593383481,2016-2020,45,37,179.2,1,928,22,3/32,42.18,5.17,48.9,0,0
N Pradeep,9.379743959147811,2012-2020,45,43,353.1,18,2099,57,4/31,36.82,5.94,37.1,2,0
I Udana,6.65,2012-2020,18,18,130.3,1,810,16,3/82,50.62,6.20,48.9,0,0
NLTC Perera,10.284487047154084,2009-2020,164,155,971.2,28,5668,172,6/44,32.95,5.83,33.8,5,4
AD Mathews,10.99184685246494,2008-2020,217,158,865.1,54,4003,120,6/20,33.35,4.62,43.2,2,1
