a,b,winner,location,date,a_bat,a_bowl,b_bat,b_bowl
Pakistan,Sri Lanka,Sri Lanka,Abu Dhabi,22-May-07,226.5179799,58.43880302,254.6083116,67.43198525
India,South Africa,South Africa,Belfast,26-Jun-07,204.0791234,48.92242991,183.5078611,66.8715923
India,South Africa,India,Belfast,29-Jun-07,227.3106577,48.92242991,198.9078611,66.8715923
India,South Africa,India,Belfast,1-Jul-07,265.538326,50.32535974,228.0231435,54.2495271
England,West Indies,England,Lord's,1-Jul-07,259.7888655,47.58313686,253.4982147,72.08753714
England,West Indies,West Indies,Birmingham,4-Jul-07,240.0695661,26.14592597,249.1482147,72.08753714
England,West Indies,West Indies,Nottingham,7-Jul-07,268.3721989,47.58313686,253.1648814,72.08753714
Sri Lanka,Bangladesh,Sri Lanka,Colombo (PSS),20-Jul-07,236.6363962,60.79597095,277.4979035,61.69516267
Sri Lanka,Bangladesh,Sri Lanka,Colombo (RPS),23-Jul-07,209.2153662,57.39434297,275.6979035,61.69516267
Sri Lanka,Bangladesh,Sri Lanka,Colombo (RPS),25-Jul-07,196.1211087,57.39434297,255.7085087,57.78753839
England,India,England,Southampton,21-Aug-07,246.8712706,50.87352244,246.288326,50.32535974
England,India,India,Bristol,24-Aug-07,274.8712706,39.71836283,215.8106577,62.17526173
England,India,England,Birmingham,27-Aug-07,270.8779871,37.30108558,226.6106577,61.89385849
England,India,England,Manchester,30-Aug-07,309.2383674,50.87352244,226.6773244,61.88579447
England,India,India,Leeds,2-Sep-07,268.3446538,52.99805528,264.763326,49.98330881
England,India,India,The Oval,5-Sep-07,238.1945661,37.30108558,312.559526,49.98330881
England,India,England,Lord's,8-Sep-07,240.2313439,50.87352244,318.069526,48.92242991
Sri Lanka,England,Sri Lanka,Dambulla,1-Oct-07,231.1428741,26.14592597,267.3979035,66.81356036
India,Australia,Australia,Kochi,2-Oct-07,236.1324435,73.10251705,276.0841284,61.60930841
Sri Lanka,England,England,Dambulla,4-Oct-07,229.7428741,26.14592597,269.5479035,66.81356036
India,Australia,Australia,Hyderabad (Deccan),5-Oct-07,265.7149991,73.10251705,292.4841284,50.04887368
Sri Lanka,England,England,Dambulla,7-Oct-07,230.2095408,26.14592597,267.3812368,66.81356036
India,Australia,India,Chandigarh,8-Oct-07,270.6149991,77.76349215,295.6051135,60.42505056
Sri Lanka,England,England,Colombo (RPS),10-Oct-07,227.7845408,26.14592597,294.8421892,68.6811726
India,Australia,Australia,Vadodara,11-Oct-07,270.5483325,77.76349215,300.8551135,60.42505056
Sri Lanka,England,Sri Lanka,Colombo (RPS),13-Oct-07,228.7828741,37.30108558,255.6810493,68.6811726
India,Australia,Australia,Nagpur,14-Oct-07,265.6780901,77.76349215,296.3301135,59.28625307
India,Australia,India,Mumbai,17-Oct-07,263.5430901,77.76349215,260.7853006,60.42505056
Pakistan,South Africa,South Africa,Lahore,18-Oct-07,306.5352381,58.33921744,280.0849664,70.30113297
Pakistan,South Africa,Pakistan,Lahore,20-Oct-07,281.229502,58.4926051,282.2466331,70.30113297
Pakistan,South Africa,Pakistan,Faisalabad,23-Oct-07,278.464658,58.4926051,281.6966331,70.30113297
Pakistan,South Africa,South Africa,Multan,26-Oct-07,280.2763246,70.20431681,274.9779602,71.36531343
Pakistan,South Africa,South Africa,Lahore,29-Oct-07,280.6842639,60.96352643,274.4770078,71.36531343
