a,b,winner,location,date,a_bat,a_bowl,b_bat,b_bowl
New Zealand,Pakistan,Pakistan,Abu Dhabi,3-Nov-09,184.2483222,75.71858721,301.2069332,72.03414243
India,Australia,Australia,Hyderabad (Deccan),5-Nov-09,208.4937216,34.84949879,280.4016747,48.45223568
New Zealand,Pakistan,New Zealand,Abu Dhabi,6-Nov-09,211.8778445,80.57699596,285.0805808,81.84616748
India,Australia,Australia,Guwahati,8-Nov-09,213.4283248,39.13077182,281.6118912,48.45223568
New Zealand,Pakistan,New Zealand,Abu Dhabi,9-Nov-09,218.0445112,80.57699596,300.4262971,81.84616748
South Africa,England,England,Centurion,22-Nov-09,274.2316961,39.50027779,244.569566,48.28466498
South Africa,England,South Africa,Cape Town,27-Nov-09,272.5466961,56.85368889,212.0215636,36.42012239
South Africa,England,England,Port Elizabeth,29-Nov-09,272.4916961,56.85368889,214.1660874,36.84103683
India,Sri Lanka,India,Rajkot,15-Dec-09,278.3555074,49.32397043,279.4039038,48.93031898
India,Sri Lanka,Sri Lanka,Nagpur,18-Dec-09,279.4969394,49.32397043,265.3116872,31.08001353
India,Sri Lanka,India,Cuttack,21-Dec-09,263.0872898,48.85834828,230.1505936,44.74244199
India,Sri Lanka,India,Kolkata,24-Dec-09,260.1024084,48.85834828,246.8467973,22.14057974
Bangladesh,Sri Lanka,Sri Lanka,Dhaka,4-Jan-10,238.5230389,60.10117615,215.2613788,25.51005584
India,Sri Lanka,Sri Lanka,Dhaka,5-Jan-10,285.5763176,57.70748506,177.2377731,38.07468792
Bangladesh,India,India,Dhaka,7-Jan-10,245.9372056,62.7568703,286.1502858,57.70748506
Bangladesh,Sri Lanka,Sri Lanka,Dhaka,8-Jan-10,241.5410151,62.7568703,211.3451163,62.65535804
India,Sri Lanka,India,Dhaka,10-Jan-10,262.5912794,32.18297409,260.7051469,38.07468792
Bangladesh,India,India,Dhaka,11-Jan-10,252.6772056,63.03688617,274.9002802,31.86262746
India,Sri Lanka,Sri Lanka,Dhaka,13-Jan-10,285.6946312,57.70748506,258.9535589,52.04335444
Australia,Pakistan,Australia,Brisbane,22-Jan-10,297.4016616,66.95604256,327.9519107,75.12025729
Australia,Pakistan,Australia,Sydney,24-Jan-10,299.9540426,66.95604256,328.5061964,75.74031383
Australia,Pakistan,Australia,Adelaide,26-Jan-10,333.0912204,72.73847061,295.690523,63.06704817
Australia,Pakistan,Australia,Perth,29-Jan-10,323.4938719,66.00468196,299.4802056,61.98968332
Australia,Pakistan,Australia,Perth,31-Jan-10,314.8087951,68.7323993,256.2635632,57.71247266
New Zealand,Bangladesh,New Zealand,Napier,5-Feb-10,235.9486342,54.8485124,183.0709384,73.11722855
Australia,West Indies,Australia,Melbourne,7-Feb-10,330.7563395,70.71550834,223.8379932,67.67146579
New Zealand,Bangladesh,New Zealand,Dunedin,8-Feb-10,249.2763229,53.3809821,190.8857003,72.47709052
Australia,West Indies,Australia,Adelaide,9-Feb-10,295.3933283,69.6837599,223.7546599,67.67146579
New Zealand,Bangladesh,New Zealand,Christchurch,11-Feb-10,248.372434,53.3809821,189.1785575,70.49696164
Australia,West Indies,Australia,Brisbane,14-Feb-10,308.6524289,81.89166202,254.461949,62.43207182
Australia,West Indies,Australia,Melbourne,19-Feb-10,311.633207,71.83218542,258.9872268,62.43207182
India,South Africa,India,Jaipur,21-Feb-10,295.4388686,52.23943615,280.0751503,67.30186462
India,South Africa,India,Gwalior,24-Feb-10,310.422202,52.23943615,307.6871137,58.9032773
India,South Africa,South Africa,Ahmedabad,27-Feb-10,243.368876,28.4410714,275.3261418,74.40713196
Bangladesh,England,England,Dhaka,28-Feb-10,271.2276501,64.06514373,300.3946674,58.24603131
Bangladesh,England,England,Dhaka,2-Mar-10,216.3252885,69.82458041,317.1446674,46.59712421
New Zealand,Australia,New Zealand,Napier,3-Mar-10,323.294436,81.89166202,223.9005522,73.62233263
Bangladesh,England,England,Chattogram,5-Mar-10,220.1586218,69.82458041,351.4299442,43.32693242
New Zealand,Australia,Australia,Auckland,6-Mar-10,322.9872427,81.89166202,149.2975286,73.68350195
New Zealand,Australia,Australia,Hamilton,9-Mar-10,316.9095881,81.89166202,192.326617,62.87347318
New Zealand,Australia,Australia,Auckland,11-Mar-10,316.761816,81.89166202,160.951852,73.68350195
New Zealand,Australia,New Zealand,Wellington,13-Mar-10,283.4825385,80.85991358,190.2273334,73.28139066
West Indies,South Africa,South Africa,North Sound,22-May-10,249.1622965,70.71503156,260.1592908,77.95012252
West Indies,South Africa,South Africa,North Sound,24-May-10,253.4580153,70.71503156,230.1164724,77.95012252
West Indies,South Africa,South Africa,Roseau,28-May-10,253.2901582,67.97836963,190.3606372,74.85440114
India,Sri Lanka,India,Bulawayo,30-May-10,193.5095675,31.89323489,212.0973494,78.83240262
West Indies,South Africa,South Africa,Roseau,30-May-10,255.8131299,72.00389783,189.1639706,70.42324619
West Indies,South Africa,South Africa,Port of Spain,3-Jun-10,288.5974101,71.62392389,224.9290228,64.64807954
India,Sri Lanka,Sri Lanka,Harare,5-Jun-10,194.3606559,31.89323489,171.8319336,68.84676613
Sri Lanka,Pakistan,Sri Lanka,Dambulla,15-Jun-10,285.5235183,77.1305158,258.257955,70.32048613
Bangladesh,India,India,Dambulla,16-Jun-10,245.9551645,71.39738327,286.7889654,59.00777262
Sri Lanka,Bangladesh,Sri Lanka,Dambulla,18-Jun-10,270.54046,61.67397901,257.770455,56.36025734
India,Pakistan,India,Dambulla,19-Jun-10,276.2282511,59.00777262,315.2221951,78.56564125
Bangladesh,Pakistan,Pakistan,Dambulla,21-Jun-10,235.0075209,63.81245651,232.2109475,62.10499212
Sri Lanka,India,Sri Lanka,Dambulla,22-Jun-10,256.061458,47.18685794,265.5362585,37.1872986
England,Australia,England,Southampton,22-Jun-10,319.0044105,68.4262841,295.9829255,69.84931075
Sri Lanka,India,India,Dambulla,24-Jun-10,256.1608862,59.00777262,265.5532916,70.32048613
England,Australia,England,Cardiff,24-Jun-10,285.5669146,67.39453566,298.5591105,69.84931075
England,Australia,England,Manchester,27-Jun-10,318.5940533,69.85716562,296.1861669,69.84931075
England,Australia,Australia,The Oval,30-Jun-10,318.1086554,69.85716562,294.5752812,69.84931075
England,Australia,Australia,Lord's,3-Jul-10,314.2836441,69.85716562,293.5175681,69.84931075
England,Bangladesh,England,Nottingham,8-Jul-10,269.7451995,54.08905225,283.6389183,54.9674592
England,Bangladesh,Bangladesh,Bristol,10-Jul-10,243.8330579,63.92440056,305.4043729,44.91085543
England,Bangladesh,England,Birmingham,12-Jul-10,245.0447245,63.92440056,336.7915424,42.32651208
India,New Zealand,New Zealand,Dambulla,10-Aug-10,256.7605486,46.86651131,177.0268031,72.89517854
Sri Lanka,New Zealand,Sri Lanka,Dambulla,13-Aug-10,154.2905616,69.62886195,258.797955,55.40687655
Sri Lanka,India,India,Dambulla,16-Aug-10,260.4010914,57.716892,258.7107383,61.86244562
Sri Lanka,India,Sri Lanka,Dambulla,22-Aug-10,255.0932734,57.716892,262.2414379,63.26051733
India,New Zealand,India,Dambulla,25-Aug-10,261.313259,56.38192888,187.2137647,66.39784962
Sri Lanka,India,Sri Lanka,Dambulla,28-Aug-10,304.2659192,47.01737861,262.0528694,63.26051733
England,Pakistan,England,Chester-le-Street,10-Sep-10,240.7592746,69.84931075,260.8401917,65.57378226
England,Pakistan,England,Leeds,12-Sep-10,258.0592746,69.84931075,281.9401917,65.57378226
England,Pakistan,Pakistan,The Oval,17-Sep-10,252.9791922,61.67678807,317.916592,78.24442786
England,Pakistan,Pakistan,Lord's,20-Sep-10,262.5083171,69.84931075,318.7999253,78.24442786
England,Pakistan,England,Southampton,22-Sep-10,296.7931267,59.23807133,318.816592,78.24442786
Bangladesh,New Zealand,Bangladesh,Dhaka,5-Oct-10,264.1151098,65.25265816,179.2798051,69.85412835
Bangladesh,New Zealand,Bangladesh,Dhaka,11-Oct-10,239.865035,59.84848893,181.2509163,69.85412835
Bangladesh,New Zealand,Bangladesh,Dhaka,14-Oct-10,241.963812,59.84848893,137.9927578,58.75590142
Bangladesh,New Zealand,Bangladesh,Dhaka,17-Oct-10,240.9639533,59.84848893,181.9616738,59.55918435
India,Australia,India,Visakhapatnam,20-Oct-10,239.0329277,38.74693274,178.6979372,23.79836475
Pakistan,South Africa,South Africa,Abu Dhabi,29-Oct-10,256.3770317,78.24442786,246.0134076,63.09641752
Pakistan,South Africa,Pakistan,Abu Dhabi,31-Oct-10,260.3104841,64.92932369,186.5839524,61.84634271
Pakistan,South Africa,South Africa,Dubai (DSC),2-Nov-10,262.520722,64.92932369,234.3275522,60.49648809
Australia,Sri Lanka,Sri Lanka,Melbourne,3-Nov-10,236.5550529,35.86929482,225.6820453,81.0173098
Pakistan,South Africa,Pakistan,Dubai (DSC),5-Nov-10,268.2573381,61.14194023,251.6289632,57.74939062
Australia,Sri Lanka,Sri Lanka,Sydney,5-Nov-10,246.8424702,63.44007388,232.821331,81.0173098
Australia,Sri Lanka,Australia,Brisbane,7-Nov-10,240.1760396,40.61997443,231.5645453,61.00944225
Pakistan,South Africa,South Africa,Dubai (DSC),8-Nov-10,284.2541217,61.14194023,250.4393595,61.80755124
India,New Zealand,India,Guwahati,28-Nov-10,213.7311138,43.6917987,215.7212899,68.3779785
India,New Zealand,India,Jaipur,1-Dec-10,219.5013519,43.6917987,188.4563011,71.25588348
India,New Zealand,India,Vadodara,4-Dec-10,181.5271123,55.37190719,192.6165164,70.68677582
India,New Zealand,India,Bengaluru,7-Dec-10,220.0950884,45.19044412,225.9164225,80.98171982
India,New Zealand,India,Chennai,10-Dec-10,221.2338582,44.99208626,255.0326343,76.94742456
South Africa,India,South Africa,Durban,12-Jan-11,313.4832855,50.35586553,287.4250359,65.54066064
South Africa,India,India,Johannesburg,15-Jan-11,309.1549521,50.35586553,291.1990835,65.54066064
Australia,England,Australia,Melbourne,16-Jan-11,241.0342558,80.07533109,288.2989143,46.63395179
South Africa,India,India,Cape Town,18-Jan-11,293.9245003,58.68805835,287.178657,65.54066064
South Africa,India,South Africa,Port Elizabeth,21-Jan-11,297.1144703,58.68805835,286.2770513,65.21231526
Australia,England,Australia,Hobart,21-Jan-11,249.6743098,77.59165934,320.1614895,31.72916337
New Zealand,Pakistan,New Zealand,Wellington,22-Jan-11,258.7504304,81.25123123,301.9845331,75.01238543
South Africa,India,South Africa,Centurion,23-Jan-11,297.3459386,58.1127145,282.5981624,65.21231526
Australia,England,Australia,Sydney,23-Jan-11,251.0068507,74.24332237,312.4504242,29.58848856
Australia,England,England,Adelaide,26-Jan-11,251.951892,74.24332237,329.4810739,41.93476033
New Zealand,Pakistan,Pakistan,Christchurch,29-Jan-11,256.8577887,63.64746613,306.1769381,76.70194585
Australia,England,Australia,Brisbane,30-Jan-11,249.9550206,74.63273849,302.4166638,44.71902924
New Zealand,Pakistan,Pakistan,Napier,1-Feb-11,265.2274511,67.01261655,311.9519381,76.70194585
Australia,England,Australia,Sydney,2-Feb-11,244.4603129,72.46894396,329.6508546,31.63302924
New Zealand,Pakistan,Pakistan,Hamilton,3-Feb-11,299.2438506,69.9473707,314.2500333,79.69380082
Sri Lanka,West Indies,Sri Lanka,Colombo (SSC),3-Feb-11,254.0708145,65.02143195,255.4867431,74.31721754
New Zealand,Pakistan,New Zealand,Auckland,5-Feb-11,234.7467792,67.6296748,310.1050223,78.37064765
Australia,England,Australia,Perth,6-Feb-11,235.0218811,51.52861055,304.5806486,33.730417
Sri Lanka,West Indies,Sri Lanka,Colombo (SSC),6-Feb-11,291.8689908,62.91491703,264.3114344,65.07451482
Bangladesh,India,India,Dhaka,19-Feb-11,246.3049815,60.38282999,338.155988,56.5884716
South Africa,West Indies,South Africa,Delhi,24-Feb-11,293.0386802,60.0428711,309.3088098,65.56628474
Australia,New Zealand,Australia,Nagpur,25-Feb-11,253.8279016,64.16153655,264.3308419,67.01261655
Sri Lanka,Pakistan,Pakistan,Colombo (RPS),26-Feb-11,313.4391098,76.72201223,298.4864861,65.39897406
Bangladesh,West Indies,West Indies,Dhaka,4-Mar-11,247.408625,60.38282999,276.4451911,64.36312493
England,South Africa,England,Chennai,6-Mar-11,302.3883234,50.65281032,318.5357774,49.06252022
New Zealand,Pakistan,New Zealand,Pallekele,8-Mar-11,256.0359209,82.91641511,315.0255492,76.72201223
Bangladesh,England,Bangladesh,Chattogram,11-Mar-11,249.5752196,60.38282999,329.0924156,59.04486425
India,South Africa,South Africa,Nagpur,12-Mar-11,336.3105118,58.68805835,329.1716036,60.0428711
England,West Indies,England,Chennai,17-Mar-11,303.8929642,33.54795179,274.8892475,82.61728337
New Zealand,Sri Lanka,Sri Lanka,Mumbai,18-Mar-11,299.4143023,67.46876311,259.9081845,70.80009892
Australia,Pakistan,Pakistan,Colombo (RPS),19-Mar-11,258.0501519,64.16153655,305.5658967,75.05331043
Bangladesh,South Africa,South Africa,Dhaka,19-Mar-11,243.2163509,60.38282999,270.7062644,60.34602206
India,West Indies,India,Chennai,20-Mar-11,331.026846,60.22515253,230.6136859,71.45400986
Pakistan,West Indies,Pakistan,Dhaka,23-Mar-11,309.1178664,81.92199637,275.8535244,69.96812743
India,Australia,India,Ahmedabad,24-Mar-11,295.2228456,54.42926051,339.2517938,51.89295971
New Zealand,South Africa,New Zealand,Dhaka,25-Mar-11,297.8447785,59.21160761,280.3799139,60.0428711
Sri Lanka,England,Sri Lanka,Colombo (RPS),26-Mar-11,304.0987975,33.54795179,259.8886607,68.47615764
Sri Lanka,New Zealand,Sri Lanka,Colombo (RPS),29-Mar-11,297.5666833,72.28158217,259.5574703,68.47615764
India,Pakistan,India,Mohali,30-Mar-11,341.9635787,50.35586553,306.6928664,81.92199637
India,Sri Lanka,India,Mumbai,2-Apr-11,340.6416839,48.25627878,259.9684147,71.1202801
Bangladesh,Australia,Australia,Dhaka,9-Apr-11,247.3268186,72.75994772,264.8092948,64.45559206
Bangladesh,Australia,Australia,Dhaka,11-Apr-11,253.9895806,72.75994772,241.8575825,62.00289731
Bangladesh,Australia,Australia,Dhaka,13-Apr-11,255.6944098,57.59205981,273.1304584,64.45559206
West Indies,Pakistan,Pakistan,Gros Islet,23-Apr-11,234.4587938,69.49339215,254.9939433,61.82596612
West Indies,Pakistan,Pakistan,Gros Islet,25-Apr-11,244.0987938,69.49339215,212.9592766,50.25234721
West Indies,Pakistan,Pakistan,Bridgetown,28-Apr-11,244.7421271,69.49339215,258.9356099,73.93385253
West Indies,Pakistan,West Indies,Bridgetown,2-May-11,197.9075216,56.44081925,222.7646269,62.36023361
West Indies,Pakistan,West Indies,Providence,5-May-11,231.459413,69.49339215,222.6129602,48.83035231
West Indies,India,India,Port of Spain,6-Jun-11,204.2001208,58.21449772,219.6412935,48.83035231
West Indies,India,India,Port of Spain,8-Jun-11,205.7651208,58.21449772,225.3607243,57.72659716
West Indies,India,India,North Sound,11-Jun-11,208.5651208,58.21449772,241.3697267,59.69258134
West Indies,India,West Indies,North Sound,13-Jun-11,208.3667875,56.91382295,280.1179898,43.18557199
West Indies,India,West Indies,Kingston,16-Jun-11,207.5275018,55.48799591,313.3976378,43.18557199
England,Sri Lanka,England,The Oval,28-Jun-11,311.3028095,58.9631367,268.6694493,70.39207061
England,Sri Lanka,Sri Lanka,Leeds,1-Jul-11,315.6159048,58.9631367,261.0482783,60.71465713
England,Sri Lanka,Sri Lanka,Lord's,3-Jul-11,312.5331667,58.9631367,263.561056,60.71465713
England,Sri Lanka,England,Nottingham,6-Jul-11,310.8728492,58.9631367,267.0249449,60.71465713
England,Sri Lanka,England,Manchester,9-Jul-11,312.5325714,55.02894145,232.2550662,60.71465713
Sri Lanka,Australia,Australia,Pallekele,10-Aug-11,250.3984556,80.07533109,268.7384435,63.6662949
Sri Lanka,Australia,Australia,Hambantota,14-Aug-11,251.4853604,80.07533109,269.1687609,75.89066334
Sri Lanka,Australia,Sri Lanka,Hambantota,16-Aug-11,252.4378856,80.07533109,266.4283162,55.52129457
Sri Lanka,Australia,Australia,Colombo (RPS),20-Aug-11,296.7222651,70.34305505,230.5274762,53.07299613
Sri Lanka,Australia,Sri Lanka,Colombo (RPS),22-Aug-11,297.3672984,47.85978377,259.2209345,51.79273217
England,India,England,Southampton,6-Sep-11,192.7354221,68.00645215,241.5506375,47.19575499
England,India,England,The Oval,9-Sep-11,245.9764134,58.9631367,276.1932682,59.55205017
England,India,England,Cardiff,16-Sep-11,249.9784316,53.68586253,279.8067084,58.12622313
Bangladesh,West Indies,West Indies,Dhaka,13-Oct-11,209.7688741,60.38282999,229.5459506,62.61464081
India,England,India,Hyderabad (Deccan),14-Oct-11,258.9416512,53.68586253,288.8138531,46.47380237
Bangladesh,West Indies,West Indies,Dhaka,15-Oct-11,213.8922074,60.38282999,250.2057883,71.80046774
India,England,India,Delhi,17-Oct-11,256.5193552,53.68586253,288.5920872,46.47380237
Bangladesh,West Indies,Bangladesh,Chattogram,18-Oct-11,184.2069093,57.26825766,200.1332125,43.18557199
South Africa,Australia,Australia,Centurion,19-Oct-11,214.4705692,53.24448294,303.4057914,65.83226511
India,England,India,Mohali,20-Oct-11,255.6245084,53.68586253,290.2665316,46.47380237
India,England,India,Mumbai,23-Oct-11,257.0344718,30.47074773,291.1090398,46.47380237
South Africa,Australia,South Africa,Port Elizabeth,23-Oct-11,256.7977277,64.90744318,306.0460944,65.83226511
India,England,India,Kolkata,25-Oct-11,250.1605801,45.37553615,258.7830191,46.47380237
South Africa,Australia,Australia,Durban,28-Oct-11,301.9711143,55.17516714,308.1461882,65.83226511
Pakistan,Sri Lanka,Pakistan,Dubai (DSC),11-Nov-11,279.7429431,68.86942347,243.4091899,34.98471805
Pakistan,Sri Lanka,Sri Lanka,Dubai (DSC),14-Nov-11,283.9632461,68.86942347,310.6226299,61.00695658
Pakistan,Sri Lanka,Pakistan,Dubai (DSC),18-Nov-11,281.2822105,80.5988432,311.7555662,61.00695658
Pakistan,Sri Lanka,Pakistan,Sharjah,20-Nov-11,287.0481007,66.2345706,312.0361261,61.00695658
Pakistan,Sri Lanka,Pakistan,Abu Dhabi,23-Nov-11,279.2048774,91.66173045,304.6123952,61.00695658
India,West Indies,India,Cuttack,29-Nov-11,291.7188389,35.08443366,274.0324998,43.18557199
Bangladesh,Pakistan,Pakistan,Dhaka,1-Dec-11,179.2456822,68.3829766,287.5257831,66.2345706
India,West Indies,India,Visakhapatnam,2-Dec-11,294.1324103,35.08443366,273.442222,55.2934584
Bangladesh,Pakistan,Pakistan,Dhaka,3-Dec-11,218.0758331,50.87326768,283.9841164,77.96399034
India,West Indies,West Indies,Ahmedabad,5-Dec-11,295.0618548,35.08443366,238.7625163,55.2934584
Bangladesh,Pakistan,Pakistan,Chattogram,6-Dec-11,208.0356586,47.67353616,280.5564647,88.04477465
India,West Indies,India,Indore,8-Dec-11,294.3434709,35.08443366,203.388795,55.2934584
India,West Indies,India,Chennai,11-Dec-11,278.6394233,23.69061717,203.1073859,43.18557199
South Africa,Sri Lanka,South Africa,Paarl,11-Jan-12,316.4213819,75.00360712,245.0685089,63.39035078
South Africa,Sri Lanka,South Africa,East London,14-Jan-12,322.6380486,75.00360712,238.7351756,57.24452951
South Africa,Sri Lanka,South Africa,Bloemfontein,17-Jan-12,291.2937556,63.79278578,243.5268422,57.24452951
South Africa,Sri Lanka,Sri Lanka,Kimberley,20-Jan-12,262.6018448,52.65962999,262.9712095,57.33991587
South Africa,Sri Lanka,Sri Lanka,Johannesburg,22-Jan-12,297.2537556,61.71998845,272.0195428,57.33991587
Australia,India,Australia,Melbourne,5-Feb-12,311.8354318,71.28322186,312.5246334,44.92239721
India,Sri Lanka,India,Perth,8-Feb-12,316.4794155,57.62702771,315.653108,59.83285637
Afghanistan,Pakistan,Pakistan,Sharjah,10-Feb-12,194.8776116,64.43638811,295.8447418,77.58335088
Australia,Sri Lanka,Australia,Perth,10-Feb-12,307.666346,71.28322186,265.3966846,47.50697999
Australia,India,India,Adelaide,12-Feb-12,312.0742302,71.28322186,310.891448,46.68635768
England,Pakistan,England,Abu Dhabi,13-Feb-12,255.1255506,62.56119242,306.0647418,77.58335088
England,Pakistan,England,Abu Dhabi,15-Feb-12,270.7388839,62.56119242,276.2891615,78.58437971
Australia,Sri Lanka,Sri Lanka,Sydney,17-Feb-12,278.6604252,70.68138985,259.0822104,71.01021989
England,Pakistan,England,Dubai (DSC),18-Feb-12,270.0422172,62.56119242,279.7896463,68.14860351
Australia,India,Australia,Brisbane,19-Feb-12,293.2498458,65.61849811,311.587989,45.97026786
India,Sri Lanka,Sri Lanka,Brisbane,21-Feb-12,310.6741794,46.09881632,270.9925326,71.01021989
England,Pakistan,England,Dubai (DSC),21-Feb-12,263.7180985,42.59376476,274.3275186,76.85000853
Australia,Sri Lanka,Sri Lanka,Hobart,24-Feb-12,303.4015459,66.20097303,259.2651271,71.01021989
New Zealand,South Africa,South Africa,Wellington,25-Feb-12,266.4952478,53.68846714,316.5347153,75.00360712
Australia,India,Australia,Sydney,26-Feb-12,289.7255057,78.40132049,324.0234698,46.15059746
India,Sri Lanka,India,Hobart,28-Feb-12,327.3843492,46.73813882,271.0521347,71.01021989
New Zealand,South Africa,South Africa,Napier,29-Feb-12,238.8706293,57.00502535,273.7338278,75.00360712
Australia,Sri Lanka,Sri Lanka,Melbourne,2-Mar-12,279.2082835,75.87741266,262.1601026,57.33991587
New Zealand,South Africa,South Africa,Auckland,3-Mar-12,229.9469401,54.10853985,230.9790701,71.02425418
Australia,Sri Lanka,Australia,Brisbane,4-Mar-12,283.7553535,75.06538471,234.4007361,61.17729545
Australia,Sri Lanka,Sri Lanka,Adelaide,6-Mar-12,287.2094056,80.12827644,261.9164416,48.94680543
Australia,Sri Lanka,Australia,Adelaide,8-Mar-12,281.4564161,67.76798716,262.5385907,48.94680543
Bangladesh,Pakistan,Pakistan,Dhaka,11-Mar-12,271.4503716,62.29620493,296.848665,68.14860351
India,Sri Lanka,India,Dhaka,13-Mar-12,313.4783453,57.03948635,268.761421,34.33420193
Pakistan,Sri Lanka,Pakistan,Dhaka,15-Mar-12,260.4112261,68.14860351,233.4867084,47.23661175
Bangladesh,India,Bangladesh,Dhaka,16-Mar-12,272.1187698,62.29620493,315.3113788,46.15059746
West Indies,Australia,Australia,Kingstown,16-Mar-12,312.5220951,67.76798716,248.8204186,66.19530154
India,Pakistan,India,Dhaka,18-Mar-12,323.2551733,44.05943162,266.5503007,80.48977998
West Indies,Australia,West Indies,Kingstown,18-Mar-12,323.8672971,67.76798716,251.7573234,66.19530154
Bangladesh,Sri Lanka,Bangladesh,Dhaka,20-Mar-12,268.4407756,64.06351496,223.0926574,47.23661175
Bangladesh,Pakistan,Pakistan,Dhaka,22-Mar-12,273.88,64.06351496,263.0708563,68.14860351
West Indies,Australia,West Indies,Gros Islet,23-Mar-12,281.4426518,65.33267275,253.9755736,66.19530154
West Indies,Australia,Australia,Gros Islet,25-Mar-12,281.4263032,65.33267275,260.7366847,66.19530154
Sri Lanka,Pakistan,Pakistan,Pallekele,7-Jun-12,244.3170689,79.55446405,304.6055167,57.33991587
Sri Lanka,Pakistan,Sri Lanka,Pallekele,9-Jun-12,244.3248344,66.54134982,305.3612297,57.33991587
Sri Lanka,Pakistan,Sri Lanka,Colombo (RPS),16-Jun-12,284.587654,66.54134982,306.1795258,47.60236635
England,West Indies,England,Southampton,16-Jun-12,281.2198662,64.70112277,297.6547343,73.10644753
Sri Lanka,Pakistan,Sri Lanka,Colombo (RPS),18-Jun-12,285.2723861,62.73572242,334.5248429,60.00009742
England,West Indies,England,The Oval,19-Jun-12,286.5787551,64.70112277,267.9814779,82.62477461
England,Australia,England,Lord's,29-Jun-12,241.6859399,63.81290697,283.7427234,64.70112277
England,Australia,England,The Oval,1-Jul-12,286.957637,68.77389759,288.2556912,61.72672354
West Indies,New Zealand,West Indies,Kingston,5-Jul-12,220.540702,49.78249917,305.1315129,82.46298978
England,Australia,England,Chester-le-Street,7-Jul-12,286.5144434,65.56419632,287.4091537,58.57219885
West Indies,New Zealand,West Indies,Kingston,7-Jul-12,228.2188703,58.95242745,307.3765129,82.46298978
England,Australia,England,Manchester,10-Jul-12,239.2380968,59.93218096,258.0680961,47.98108965
West Indies,New Zealand,New Zealand,Basseterre,11-Jul-12,231.0188703,58.95242745,278.2466825,82.46298978
West Indies,New Zealand,West Indies,Basseterre,14-Jul-12,269.5318361,44.48595192,278.4831111,82.01777593
West Indies,New Zealand,West Indies,Basseterre,16-Jul-12,239.0527774,35.65047863,278.0916825,82.01777593
Sri Lanka,India,India,Hambantota,21-Jul-12,288.5890198,50.78606452,310.1206073,57.33991587
Sri Lanka,India,Sri Lanka,Hambantota,24-Jul-12,288.8888406,50.78606452,309.3333006,44.7033738
Sri Lanka,India,India,Colombo (RPS),28-Jul-12,288.394704,37.6548986,312.272496,57.10110486
Sri Lanka,India,India,Colombo (RPS),31-Jul-12,288.4166871,37.6548986,298.211704,57.10110486
Sri Lanka,India,India,Pallekele,4-Aug-12,270.0946029,37.6548986,286.3025395,47.36355535
Afghanistan,Australia,Australia,Sharjah,25-Aug-12,186.0136928,49.25004273,229.2427238,53.46716737
Australia,Pakistan,Australia,Sharjah,28-Aug-12,275.5609833,54.40704941,330.0441813,66.51693508
England,South Africa,South Africa,Southampton,28-Aug-12,280.6587551,60.14826676,242.4124516,52.65962999
Australia,Pakistan,Pakistan,Abu Dhabi,31-Aug-12,282.4430936,54.40704941,283.1344779,66.1727768
England,South Africa,England,The Oval,31-Aug-12,254.1744686,44.43345656,244.2022568,65.56346662
England,South Africa,England,Lord's,2-Sep-12,255.2966115,44.43345656,243.2373758,50.94241796
Australia,Pakistan,Australia,Sharjah,3-Sep-12,283.0596341,54.40704941,336.1737087,66.89470923
England,South Africa,South Africa,Nottingham,5-Sep-12,207.27649,30.33838162,242.7369194,49.87824178
Sri Lanka,New Zealand,Sri Lanka,Pallekele,4-Nov-12,223.3341588,53.68846714,288.9897559,69.73764694
Sri Lanka,New Zealand,Sri Lanka,Pallekele,6-Nov-12,263.4074739,67.82048769,288.3374543,69.73764694
Sri Lanka,New Zealand,Sri Lanka,Hambantota,10-Nov-12,265.688124,39.22199161,285.4896735,69.73764694
Bangladesh,West Indies,Bangladesh,Khulna,30-Nov-12,173.007183,46.58867304,285.2830584,76.71277419
Bangladesh,West Indies,Bangladesh,Khulna,2-Dec-12,173.3141274,46.58867304,314.3219466,71.58098336
Bangladesh,West Indies,West Indies,Dhaka,5-Dec-12,171.399683,57.50835903,260.1806509,60.14504523
Bangladesh,West Indies,West Indies,Dhaka,7-Dec-12,170.790289,46.58867304,261.7856509,62.03829488
Bangladesh,West Indies,Bangladesh,Dhaka,8-Dec-12,173.1796764,33.74025129,272.0237024,64.66983737
India,Pakistan,Pakistan,Chennai,30-Dec-12,336.40679,23.53735541,298.354982,67.32396833
India,Pakistan,Pakistan,Kolkata,3-Jan-13,292.0940366,49.02337579,288.0813592,81.99548705
India,Pakistan,India,Delhi,6-Jan-13,271.5605721,60.9664803,289.9198527,81.99548705
India,England,England,Rajkot,11-Jan-13,285.6996613,45.29390747,276.8953872,49.02337579
Australia,Sri Lanka,Australia,Melbourne,11-Jan-13,273.403712,54.59901002,253.68457,73.12640014
Australia,Sri Lanka,Sri Lanka,Adelaide,13-Jan-13,295.8557322,34.17397646,251.9047212,73.12640014
India,England,India,Kochi,15-Jan-13,286.7713334,44.22333773,276.9850593,60.9664803
Australia,Sri Lanka,Sri Lanka,Brisbane,18-Jan-13,261.7623567,54.59901002,253.2241118,68.01627383
India,England,India,Ranchi,19-Jan-13,291.4103966,45.29390747,276.591726,60.9664803
South Africa,New Zealand,New Zealand,Paarl,19-Jan-13,261.3121547,54.10346411,313.4871207,62.24163427
