Player,Score,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0
HE van der Dussen,46.89764322639759,2019-2020,21,16,6,707,95,70.70,864,81.82,0,7,0
RR Hendricks,36.810792899408284,2018-2020,21,21,2,507,102,26.68,665,76.24,1,2,1
H Klaasen,48.91360093998469,2018-2020,17,16,4,493,123,41.08,520,94.80,1,3,1
AL Phehlukwayo,28.021608305462163,2016-2020,58,34,15,563,69,29.63,643,87.55,0,1,4
Q de Kock,52.283127555988315,2013-2020,121,121,6,5135,178,44.65,5414,94.84,15,25,4
DA Miller,45.7656167588222,2010-2020,132,114,34,3231,139,40.38,3211,100.62,5,14,8
